,Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy
598,"League City, TX",March 2012,All Residential,Place/City,False,TX,0.9651597829999999,-0.6%,1.0%,140,13.8%,4566.7%,593,2.4%,21.0%,104,11,4.0,$176K,9.8%,-34.4%,203,16.7%,82.9%
599,"Conroe, TX",March 2012,All Residential,Place/City,False,TX,0.9636208059999999,1.0%,0.0%,113,37.8%,13.0%,571,1.4%,-11.9%,75,-28,-10.0,$144K,8.7%,3.3%,183,24.5%,7.6%
600,"Missouri City, TX",April 2012,All Residential,Place/City,False,TX,0.96529968,1.1%,1.7%,115,-3.4%,15.0%,555,9.0%,-22.7%,55,-24,-81.0,$173K,-0.1%,11.5%,201,4.1%,5.2%
601,"Houston, TX",October 2012,All Residential,Place/City,False,TX,0.9660035640000001,-0.2%,0.7%,2288,6.2%,32.2%,8303,-6.3%,-27.5%,53,5,-17.0,$155K,3.8%,14.6%,2625,3.1%,1.1%
602,"Missouri City, TX",October 2015,All Residential,Place/City,False,TX,0.9746829490000001,-0.2%,0.8%,125,-3.8%,-18.8%,389,-1.3%,15.1%,33,7,1.0,$230K,-9.8%,6.7%,165,18.7%,18.7%
603,"Conroe, TX",June 2016,All Residential,Place/City,False,TX,0.974133563,0.4%,-0.2%,196,-3.4%,-12.1%,749,0.0%,9.2%,43,0,15.0,$229K,-0.5%,6.4%,248,12.2%,-9.2%
604,"Missouri City, TX",November 2016,All Residential,Place/City,False,TX,0.972577618,-0.9%,0.6%,104,-11.1%,4.0%,463,-5.1%,27.9%,45,18,9.0,$252K,9.3%,11.8%,124,-24.8%,6.0%
605,"Conroe, TX",July 2018,All Residential,Place/City,False,TX,0.979392624,-0.4%,0.6%,227,-7.3%,0.0%,866,3.7%,4.1%,32,3,-9.0,$238K,-0.4%,4.4%,302,1.7%,12.7%
606,"Houston, TX",November 2019,All Residential,Place/City,False,TX,0.9710716970000001,0.2%,0.1%,2315,-9.3%,-5.1%,10094,-5.8%,1.0%,45,0,1.0,$222K,-0.9%,2.1%,2724,-20.3%,-1.4%
607,"Pasadena, TX",January 2020,All Residential,Place/City,False,TX,0.9707838,-0.9%,0.0%,61,-35.8%,3.4%,197,-1.5%,-7.1%,40,9,0.0,$169K,-10.6%,7.6%,84,6.3%,-12.5%
608,"Houston, TX",February 2020,All Residential,Place/City,False,TX,0.968842385,0.1%,0.0%,2192,24.1%,9.1%,9759,3.8%,1.2%,55,-3,6.0,$234K,11.2%,11.2%,3682,6.4%,9.2%
609,"Missouri City, TX",April 2020,All Residential,Place/City,False,TX,0.9760651640000001,0.0%,1.0%,135,-21.5%,-16.7%,464,-5.9%,-20.3%,52,-9,6.0,$259K,5.1%,-1.0%,147,-25.4%,-42.4%
610,"Sugar Land, TX",October 2013,All Residential,Place/City,False,TX,0.972542088,0.1%,0.7%,177,-1.1%,8.6%,368,-0.3%,-30.6%,23,0,-24.0,$260K,-8.8%,11.6%,229,23.1%,18.7%
611,"Conroe, TX",January 2016,All Residential,Place/City,False,TX,0.973345702,-0.2%,-0.5%,95,-48.6%,-6.9%,698,5.0%,30.7%,70,14,14.0,$217K,-1.6%,11.3%,216,74.2%,8.0%
612,"Conroe, TX",August 2016,All Residential,Place/City,False,TX,0.9739594420000001,0.4%,-0.3%,226,14.7%,30.6%,746,-2.6%,6.1%,38,-5,7.0,$233K,-0.7%,1.9%,226,-17.2%,1.3%
613,"Friendswood, TX",March 2019,All Residential,Place/City,False,TX,0.967590704,0.0%,-1.5%,75,50.0%,10.3%,217,6.9%,31.5%,45,-17,32.0,$290K,18.4%,18.6%,106,68.3%,-18.5%
614,"Galveston, TX",October 2019,All Residential,Place/City,False,TX,0.9616078090000001,0.5%,1.2%,96,-17.2%,-11.9%,570,-3.1%,-1.4%,60,5,-19.0,$244K,3.8%,-7.9%,145,14.2%,2.1%
615,"League City, TX",November 2019,All Residential,Place/City,False,TX,0.9828232179999999,0.4%,0.5%,158,-6.5%,-6.5%,396,-9.8%,-18.9%,35,-5,-10.0,$265K,-3.3%,1.9%,136,-24.0%,-19.5%
616,"League City, TX",January 2020,All Residential,Place/City,False,TX,0.9789637529999999,0.2%,0.1%,107,-32.7%,18.9%,333,-2.3%,-28.7%,56,5,2.0,$272K,0.7%,5.4%,154,111.0%,-19.8%
617,"Pasadena, TX",March 2020,All Residential,Place/City,False,TX,0.9806271590000001,-0.1%,0.3%,72,-10.0%,-24.2%,215,5.9%,16.2%,21,-21,-9.0,$179K,3.8%,13.2%,95,-8.7%,-1.0%
618,"Sugar Land, TX",November 2012,All Residential,Place/City,False,TX,0.968708585,0.3%,0.9%,150,-8.0%,23.0%,469,-11.5%,-29.8%,69,22,-11.0,$238K,2.3%,-0.2%,123,-36.3%,-13.4%
619,"Baytown, TX",October 2014,All Residential,Place/City,False,TX,0.982697855,0.5%,1.7%,102,8.5%,45.7%,284,-8.1%,-21.1%,35,0,-34.0,$145K,-3.1%,12.1%,107,-4.5%,-0.9%
620,"League City, TX",January 2016,All Residential,Place/City,False,TX,0.977103794,0.2%,-0.4%,99,-43.8%,-8.3%,400,10.2%,9.6%,38,2,1.0,$236K,2.5%,8.4%,188,66.4%,13.9%
621,"Conroe, TX",May 2014,All Residential,Place/City,False,TX,0.979427103,0.6%,0.2%,177,20.4%,-8.8%,413,2.7%,-10.4%,25,-10,-12.0,$215K,10.3%,29.9%,225,7.7%,7.1%
622,"Pasadena, TX",October 2017,All Residential,Place/City,False,TX,0.972778279,-0.2%,-0.4%,74,-9.8%,-8.6%,157,-10.8%,-15.1%,24,3,-1.0,$163K,4.6%,16.6%,79,-11.2%,-24.8%
623,"League City, TX",July 2012,All Residential,Place/City,False,TX,0.970763133,-0.7%,,171,11.8%,,605,3.4%,,51,2,,$188K,1.2%,,192,-5.4%,
624,"Texas City, TX",July 2015,All Residential,Place/City,False,TX,0.950457903,0.5%,1.8%,57,58.3%,42.5%,142,-2.1%,-17.4%,54,29,5.0,$121K,-4.3%,74.1%,57,-3.4%,-18.6%
625,"Texas City, TX",January 2016,All Residential,Place/City,False,TX,0.9641161,-0.9%,1.0%,37,-7.5%,12.1%,113,13.0%,-8.9%,32,-12,-27.0,$124K,9.3%,52.1%,54,80.0%,22.7%
626,"Missouri City, TX",December 2016,All Residential,Place/City,False,TX,0.977191948,0.5%,0.4%,141,35.6%,-1.4%,435,-6.0%,34.3%,54,9,16.0,$240K,-4.6%,0.0%,111,-10.5%,14.4%
627,"Galveston, TX",August 2016,All Residential,Place/City,False,TX,0.9579561759999999,0.6%,1.2%,119,-10.5%,5.3%,614,-6.0%,-2.7%,47,-8,-18.0,$189K,17.8%,9.1%,146,-12.0%,-38.1%
628,"Galveston, TX",June 2017,All Residential,Place/City,False,TX,0.944324009,-0.1%,-1.0%,148,-3.3%,12.1%,644,-2.6%,-1.7%,54,-8,9.0,$203K,-13.8%,8.6%,163,-20.1%,-11.4%
629,"Sugar Land, TX",October 2018,All Residential,Place/City,False,TX,0.9666708209999999,0.2%,-0.2%,158,16.2%,3.9%,763,-1.0%,1.1%,51,-8,6.0,$308K,1.0%,-0.6%,193,-4.9%,-4.5%
630,"Baytown, TX",December 2018,All Residential,Place/City,False,TX,0.983317207,1.5%,0.9%,97,10.2%,-21.1%,291,-9.1%,42.6%,47,13,15.0,$185K,3.4%,-3.2%,64,-45.3%,-4.5%
631,"Sugar Land, TX",May 2020,All Residential,Place/City,False,TX,0.9649505840000001,0.0%,-0.2%,106,-15.2%,-49.0%,647,0.8%,-20.9%,40,-6,4.0,$330K,0.0%,-8.3%,264,56.2%,-15.9%
632,"Sugar Land, TX",March 2012,All Residential,Place/City,False,TX,0.95662486,0.5%,1.0%,130,15.0%,-10.3%,613,8.9%,-26.4%,66,-22,-30.0,$256K,16.6%,0.4%,283,54.6%,3.3%
633,"Conroe, TX",October 2012,All Residential,Place/City,False,TX,0.96949276,1.8%,0.3%,119,-5.6%,10.2%,531,-8.1%,-10.2%,76,13,-4.0,$155K,0.3%,-0.6%,131,-9.0%,-3.0%
634,"Texas City, TX",February 2014,All Residential,Place/City,False,TX,0.959457043,2.7%,-0.1%,20,-9.1%,-28.6%,170,-4.0%,-11.9%,81,-19,24.0,$78K,-4.5%,10.2%,39,-13.3%,18.2%
635,"Baytown, TX",May 2016,All Residential,Place/City,False,TX,0.98045665,-0.8%,0.1%,106,9.3%,34.2%,249,0.4%,13.7%,33,0,2.0,$168K,3.1%,12.0%,115,6.5%,-5.7%
636,"Baytown, TX",March 2017,All Residential,Place/City,False,TX,0.97780101,0.3%,-0.4%,112,33.3%,-5.1%,211,-1.9%,-18.8%,25,-28,-19.0,$169K,1.7%,4.4%,120,11.1%,-7.7%
637,"Houston, TX",February 2019,All Residential,Place/City,False,TX,0.9685148709999999,0.3%,0.3%,2010,27.4%,-4.5%,9645,1.8%,16.4%,49,-2,0.0,$210K,5.0%,-2.3%,3372,1.1%,4.2%
638,"Texas City, TX",April 2019,All Residential,Place/City,False,TX,0.968310406,-0.1%,-2.3%,72,4.3%,0.0%,215,-0.5%,10.8%,51,2,19.0,$199K,5.3%,22.5%,83,9.2%,-16.2%
639,"Sugar Land, TX",December 2019,All Residential,Place/City,False,TX,0.959578719,-0.4%,0.0%,166,23.0%,9.2%,622,-11.0%,-1.9%,76,12,-5.0,$309K,8.2%,0.7%,102,-32.5%,7.4%
640,"Friendswood, TX",March 2012,All Residential,Place/City,False,TX,0.946719047,0.1%,-2.9%,60,66.7%,130.8%,291,0.3%,11.1%,98,-17,6.0,$191K,-15.6%,33.9%,98,27.3%,44.1%
641,"Houston, TX",June 2012,All Residential,Place/City,False,TX,0.971947676,0.3%,1.3%,2694,0.8%,12.2%,10020,-0.4%,-23.5%,44,0,-19.0,$159K,-0.7%,7.3%,3476,-0.6%,3.1%
642,"Conroe, TX",August 2013,All Residential,Place/City,False,TX,0.9751236740000001,0.0%,0.3%,162,-16.9%,11.0%,505,1.8%,-13.2%,33,-10,-19.0,$166K,-10.5%,-2.5%,209,-14.7%,25.1%
643,"Houston, TX",February 2014,All Residential,Place/City,False,TX,0.974931002,0.2%,0.8%,2096,19.2%,9.2%,5807,-2.3%,-16.5%,36,-6,-16.0,$170K,8.0%,6.9%,2812,-1.8%,-7.3%
644,"Houston, TX",July 2014,All Residential,Place/City,False,TX,0.984240222,-0.1%,0.3%,3057,2.8%,-0.8%,6683,8.1%,-7.0%,16,-1,-6.0,$193K,-3.4%,7.5%,3712,2.7%,-0.3%
645,"Missouri City, TX",July 2014,All Residential,Place/City,False,TX,0.983546567,0.1%,0.7%,163,-7.9%,-5.2%,386,1.6%,-8.5%,22,3,-12.0,$245K,-2.0%,21.7%,192,-9.9%,-10.3%
646,"Texas City, TX",March 2015,All Residential,Place/City,False,TX,0.972397367,2.3%,2.5%,43,26.5%,16.2%,125,-2.3%,-22.8%,43,-28,-88.0,$115K,7.5%,32.2%,49,-3.9%,-5.8%
647,"Baytown, TX",May 2017,All Residential,Place/City,False,TX,0.9803752590000001,0.0%,0.0%,92,5.7%,-13.2%,234,3.5%,-6.0%,23,-3,-10.0,$181K,6.2%,7.8%,122,4.3%,6.1%
648,"Sugar Land, TX",July 2017,All Residential,Place/City,False,TX,0.9720994740000001,0.6%,-0.4%,203,-13.6%,-4.2%,899,9.5%,22.5%,31,5,3.0,$351K,1.7%,-3.5%,303,-8.7%,3.1%
649,"Pasadena, TX",April 2020,All Residential,Place/City,False,TX,0.974661195,-0.6%,0.0%,63,-12.5%,-32.3%,209,-2.8%,16.1%,19,-2,-14.0,$182K,1.4%,11.0%,83,-12.6%,-29.7%
650,"Baytown, TX",May 2013,All Residential,Place/City,False,TX,0.973733489,1.3%,0.2%,106,60.6%,63.1%,360,10.4%,-14.1%,68,-78,8.0,$120K,3.3%,-2.4%,135,31.1%,13.4%
651,"Sugar Land, TX",August 2014,All Residential,Place/City,False,TX,0.981342807,-0.3%,0.5%,240,12.1%,-6.3%,397,-5.3%,3.4%,17,4,-1.0,$305K,-4.5%,10.9%,231,-15.7%,10.0%
652,"Conroe, TX",August 2014,All Residential,Place/City,False,TX,0.9731182079999999,-0.3%,-0.2%,180,-2.7%,11.1%,530,1.1%,5.0%,32,13,-1.0,$223K,8.5%,34.3%,225,-8.2%,7.7%
653,"Friendswood, TX",August 2018,All Residential,Place/City,False,TX,0.9734619109999999,-0.1%,-0.6%,73,-17.0%,4.3%,275,3.4%,27.9%,25,10,6.0,$285K,4.0%,-7.3%,108,-10.7%,35.0%
654,"Baytown, TX",October 2019,All Residential,Place/City,False,TX,0.9726913620000001,0.3%,0.7%,108,8.0%,16.1%,327,0.9%,7.9%,33,1,-4.0,$203K,4.7%,9.5%,126,8.6%,12.5%
655,"Houston, TX",May 2012,All Residential,Place/City,False,TX,0.969364624,0.1%,1.0%,2672,18.7%,21.7%,10057,-0.1%,-24.3%,44,-10,-21.0,$160K,5.9%,10.3%,3496,1.8%,5.2%
656,"Houston, TX",January 2013,All Residential,Place/City,False,TX,0.968370882,0.0%,1.0%,1712,-23.4%,29.6%,7103,-1.5%,-29.7%,56,0,-25.0,$137K,-17.3%,13.8%,2814,54.4%,-0.7%
657,"Baytown, TX",February 2012,All Residential,Place/City,False,TX,0.962269846,-1.4%,0.4%,59,28.3%,34.1%,392,0.8%,-20.8%,89,5,12.0,$99K,-8.2%,-10.7%,92,8.2%,-19.3%
658,"League City, TX",April 2012,All Residential,Place/City,False,TX,0.972889868,0.8%,13.1%,139,-0.7%,4533.3%,599,1.0%,14.1%,79,-25,-93.0,$194K,10.4%,6.8%,217,6.9%,87.1%
659,"Friendswood, TX",July 2012,All Residential,Place/City,False,TX,0.959821186,-0.9%,0.3%,78,-3.7%,254.5%,279,-2.1%,-14.4%,45,-12,-11.0,$188K,-8.5%,28.7%,89,3.5%,17.1%
660,"Baytown, TX",July 2012,All Residential,Place/City,False,TX,0.981481692,1.2%,0.6%,82,-10.9%,10.8%,438,-2.0%,-14.3%,69,12,5.0,$120K,0.6%,8.1%,110,-22.0%,23.6%
661,"Galveston, TX",August 2012,All Residential,Place/City,False,TX,0.95307707,1.8%,18.1%,89,3.5%,2866.7%,587,-1.3%,9.1%,79,3,54.0,$137K,-22.7%,469.8%,110,-12.7%,39.2%
662,"Pasadena, TX",October 2012,All Residential,Place/City,False,TX,0.9530572559999999,-2.9%,0.2%,76,33.3%,49.0%,345,-3.9%,-25.6%,67,2,-14.0,$102K,-9.4%,20.8%,92,12.2%,3.4%
663,"Baytown, TX",November 2012,All Residential,Place/City,False,TX,0.96732313,0.4%,-0.6%,64,-26.4%,-4.5%,387,-4.7%,-6.1%,88,3,15.0,$132K,12.1%,32.3%,76,-25.5%,-1.3%
664,"Sugar Land, TX",February 2013,All Residential,Place/City,False,TX,0.9567217920000001,0.0%,0.5%,134,20.7%,18.6%,389,-1.0%,-30.9%,63,-19,-25.0,$229K,-1.6%,4.4%,182,-6.2%,-0.5%
665,"League City, TX",March 2013,All Residential,Place/City,False,TX,0.9698834159999999,0.5%,0.5%,164,50.5%,17.1%,481,1.1%,-18.9%,62,-8,-42.0,$186K,-7.9%,5.9%,211,9.3%,3.9%
666,"Texas City, TX",August 2013,All Residential,Place/City,False,TX,0.966645772,2.3%,2.0%,29,-17.1%,-27.5%,209,-2.3%,-8.7%,79,27,6.0,$81K,-3.6%,10.4%,49,-7.5%,-10.9%
667,"Baytown, TX",October 2013,All Residential,Place/City,False,TX,0.9653703779999999,-0.1%,0.2%,70,-6.7%,-19.5%,360,0.0%,-11.3%,69,22,-16.0,$129K,3.5%,9.7%,108,0.9%,5.9%
668,"Texas City, TX",November 2013,All Residential,Place/City,False,TX,0.9410190409999999,-1.7%,-0.1%,32,23.1%,-3.0%,203,-5.6%,-8.6%,115,50,31.0,$92K,30.5%,-4.4%,34,-35.8%,-26.1%
669,"Friendswood, TX",March 2014,All Residential,Place/City,False,TX,0.9823358320000001,1.0%,1.2%,53,-8.6%,6.0%,163,5.8%,-34.5%,32,-8,-13.0,$180K,2.1%,-5.8%,86,13.2%,-21.1%
670,"Pasadena, TX",April 2014,All Residential,Place/City,False,TX,0.9816042690000001,0.6%,0.4%,103,56.1%,37.3%,204,-13.6%,-32.9%,34,-18,-8.0,$120K,-7.8%,4.4%,90,-18.2%,-18.9%
671,"League City, TX",June 2014,All Residential,Place/City,False,TX,0.982181035,-0.1%,0.4%,213,23.8%,15.1%,407,-2.2%,-13.6%,19,-5,-13.0,$215K,7.0%,7.6%,192,-23.8%,-12.7%
672,"Galveston, TX",June 2014,All Residential,Place/City,False,TX,0.9429455170000001,-0.6%,0.1%,127,-3.8%,22.1%,627,-4.6%,1.0%,69,0,-40.0,$170K,-17.1%,-11.6%,150,-13.3%,10.3%
673,"Missouri City, TX",May 2015,All Residential,Place/City,False,TX,0.983256913,0.2%,0.7%,144,0.7%,-11.1%,316,2.3%,-9.5%,20,-6,-12.0,$245K,-4.8%,3.8%,219,5.3%,1.4%
674,"Missouri City, TX",September 2015,All Residential,Place/City,False,TX,0.976351848,0.1%,-0.4%,130,-22.6%,8.3%,394,-2.7%,4.2%,26,2,8.0,$254K,7.4%,18.4%,139,-28.0%,-14.2%
675,"Missouri City, TX",November 2015,All Residential,Place/City,False,TX,0.966534569,-0.8%,-0.3%,100,-20.0%,-19.4%,362,-6.9%,23.1%,36,3,1.0,$225K,-2.0%,-7.2%,117,-29.1%,31.5%
676,"Texas City, TX",May 2016,All Residential,Place/City,False,TX,0.99281289,5.3%,0.5%,52,-3.7%,26.8%,92,-16.4%,-34.8%,23,-9,7.0,$132K,21.4%,0.8%,56,-21.1%,1.8%
677,"Texas City, TX",January 2017,All Residential,Place/City,False,TX,0.977737682,-0.9%,1.4%,29,-27.5%,-21.6%,133,17.7%,17.7%,29,11,-3.0,$139K,-6.6%,12.1%,61,74.3%,13.0%
678,"Friendswood, TX",February 2017,All Residential,Place/City,False,TX,0.971353137,-0.1%,0.2%,55,71.9%,5.8%,142,-16.5%,5.2%,36,3,-8.0,$292K,31.6%,14.3%,63,-16.0%,-14.9%
679,"Texas City, TX",February 2017,All Residential,Place/City,False,TX,0.947131218,-3.1%,-0.2%,30,3.4%,-28.6%,140,5.3%,59.1%,20,-9,-19.0,$116K,-16.5%,-3.2%,44,-27.9%,15.8%
680,"Conroe, TX",April 2017,All Residential,Place/City,False,TX,0.974359973,0.5%,0.1%,189,-4.1%,14.5%,803,7.5%,6.5%,46,-24,-6.0,$220K,-8.3%,-1.1%,313,1.0%,24.2%
681,"Pasadena, TX",July 2017,All Residential,Place/City,False,TX,0.983339066,1.4%,0.1%,102,0.0%,8.5%,178,9.9%,3.5%,16,2,2.0,$162K,7.1%,0.0%,107,-21.3%,-14.4%
682,"Texas City, TX",October 2017,All Residential,Place/City,False,TX,0.9818351820000001,1.4%,-2.5%,50,8.7%,-3.8%,198,6.5%,72.2%,30,-13,8.0,$125K,-25.7%,-1.2%,75,27.1%,25.0%
683,"Conroe, TX",November 2017,All Residential,Place/City,False,TX,0.970884595,-0.1%,-1.0%,186,-7.5%,24.8%,733,-0.5%,0.1%,46,-10,-3.0,$219K,-1.1%,9.2%,205,-12.0%,7.9%
684,"Friendswood, TX",January 2018,All Residential,Place/City,False,TX,0.959473542,-1.5%,-1.3%,46,-22.0%,43.8%,163,0.6%,-4.1%,18,-20,-15.0,$227K,-11.5%,2.3%,90,83.7%,20.0%
685,"Friendswood, TX",June 2018,All Residential,Place/City,False,TX,0.9771307990000001,0.3%,-0.8%,119,17.8%,38.4%,244,24.5%,5.2%,14,0,2.0,$280K,13.3%,10.9%,140,-2.1%,16.7%
686,"League City, TX",November 2018,All Residential,Place/City,False,TX,0.9776742279999999,-0.3%,-0.4%,169,-1.7%,3.0%,488,1.7%,33.0%,45,3,-9.0,$260K,-3.9%,0.0%,169,1.2%,19.9%
687,"Houston, TX",November 2018,All Residential,Place/City,False,TX,0.969670425,0.1%,0.4%,2439,-4.4%,1.2%,9997,-3.1%,10.0%,44,4,-3.0,$218K,1.6%,4.6%,2762,-17.4%,-3.6%
688,"League City, TX",March 2019,All Residential,Place/City,False,TX,0.9749627890000001,-0.4%,-1.1%,183,32.6%,7.0%,447,-2.0%,38.8%,44,-2,13.0,$270K,-3.5%,-1.9%,217,14.2%,5.3%
689,"Galveston, TX",March 2019,All Residential,Place/City,False,TX,0.967930032,2.9%,2.1%,107,20.2%,-7.8%,617,8.6%,4.0%,68,-15,-15.0,$270K,28.0%,17.6%,231,24.2%,3.6%
690,"Missouri City, TX",April 2019,All Residential,Place/City,False,TX,0.966058062,-0.5%,-0.4%,162,15.7%,22.7%,582,2.1%,15.7%,46,-16,12.0,$262K,2.6%,-0.6%,255,13.3%,9.0%
691,"Galveston, TX",April 2019,All Residential,Place/City,False,TX,0.9589575840000001,-0.9%,-0.1%,142,32.7%,-1.4%,630,2.1%,2.8%,44,-24,3.0,$250K,-7.4%,4.4%,201,-13.0%,-2.0%
692,"Conroe, TX",July 2019,All Residential,Place/City,False,TX,0.9734673979999999,0.0%,-0.6%,274,1.9%,20.7%,781,-4.1%,-9.8%,41,-8,9.0,$251K,-1.8%,5.3%,305,2.7%,1.0%
693,"Missouri City, TX",July 2019,All Residential,Place/City,False,TX,0.974386531,-0.4%,-0.6%,204,37.8%,29.9%,637,-4.9%,6.3%,33,-9,-3.0,$255K,-0.4%,-1.5%,222,-5.9%,0.0%
694,"Texas City, TX",September 2019,All Residential,Place/City,False,TX,0.9690838420000001,0.0%,0.6%,63,-4.5%,-3.1%,251,3.3%,6.4%,30,-19,-8.0,$185K,3.4%,33.1%,88,-10.2%,15.8%
695,"Galveston, TX",September 2019,All Residential,Place/City,False,TX,0.9561553620000001,0.1%,0.0%,116,-9.4%,0.9%,588,-3.4%,0.3%,55,-5,8.0,$235K,-2.1%,8.0%,127,-27.4%,14.4%
696,"Pasadena, TX",January 2014,All Residential,Place/City,False,TX,0.9551432009999999,-0.5%,1.0%,60,-29.4%,-13.0%,258,-3.4%,-18.1%,73,4,-14.0,$114K,-8.7%,11.2%,92,67.3%,-14.0%
697,"Pasadena, TX",February 2014,All Residential,Place/City,False,TX,0.966268406,1.1%,2.3%,62,3.3%,-21.5%,260,0.8%,-11.3%,46,-27,-70.0,$119K,3.9%,28.1%,88,-4.3%,1.1%
698,"Galveston, TX",March 2015,All Residential,Place/City,False,TX,0.95913117,0.2%,0.0%,90,11.1%,9.8%,593,3.3%,-8.8%,44,-50,-47.0,$173K,2.4%,-7.7%,180,19.2%,-4.8%
699,"Sugar Land, TX",May 2016,All Residential,Place/City,False,TX,0.9679094420000001,-0.3%,-1.3%,186,5.1%,-5.1%,623,5.1%,28.7%,32,-2,16.0,$334K,5.7%,2.9%,282,8.0%,-8.7%
700,"Baytown, TX",September 2016,All Residential,Place/City,False,TX,0.9746891870000001,-1.3%,-0.5%,105,-13.9%,10.5%,265,4.3%,-8.0%,30,4,11.0,$175K,5.4%,20.7%,118,-6.3%,18.0%
701,"Galveston, TX",July 2017,All Residential,Place/City,False,TX,0.95379554,0.9%,0.2%,114,-23.0%,-14.3%,632,-1.9%,-3.2%,57,3,2.0,$175K,-13.8%,9.1%,188,15.3%,13.3%
702,"Sugar Land, TX",August 2017,All Residential,Place/City,False,TX,0.970449542,-0.2%,-0.4%,161,-20.7%,-22.6%,868,-3.4%,22.8%,29,-2,1.0,$310K,-11.7%,1.5%,210,-30.7%,-3.7%
703,"Pasadena, TX",September 2013,All Residential,Place/City,False,TX,0.969273536,-0.3%,-1.2%,80,-16.7%,40.4%,300,5.3%,-16.4%,54,0,-11.0,$111K,2.6%,-1.1%,97,-10.2%,18.3%
704,"Missouri City, TX",November 2014,All Residential,Place/City,False,TX,0.969785792,0.3%,-0.6%,124,-19.5%,7.8%,294,-13.0%,-18.3%,35,3,-12.0,$242K,12.7%,14.6%,89,-36.0%,-27.0%
705,"Sugar Land, TX",June 2016,All Residential,Place/City,False,TX,0.980611235,1.3%,0.4%,203,9.1%,-16.8%,692,11.1%,26.0%,28,-4,13.0,$308K,-7.8%,-6.5%,314,11.3%,-3.4%
706,"Conroe, TX",September 2019,All Residential,Place/City,False,TX,0.97036097,-0.1%,0.4%,215,-18.9%,15.6%,784,-2.2%,-6.4%,44,4,-10.0,$254K,2.3%,7.7%,229,-19.4%,5.0%
707,"Pasadena, TX",November 2019,All Residential,Place/City,False,TX,0.97551785,-0.4%,0.7%,84,-10.6%,37.7%,216,9.1%,1.9%,25,3,6.0,$173K,-1.1%,-0.6%,101,-1.9%,18.8%
708,"Friendswood, TX",January 2020,All Residential,Place/City,False,TX,0.954512125,-2.2%,-1.2%,38,-33.3%,-13.6%,136,4.6%,-34.0%,41,-18,-46.0,$226K,-16.5%,-16.9%,65,71.1%,-16.7%
709,"Texas City, TX",April 2020,All Residential,Place/City,False,TX,0.985072721,2.0%,1.7%,53,-10.2%,-26.4%,239,-8.8%,11.2%,64,11,13.0,$204K,8.1%,2.7%,70,-27.1%,-15.7%
710,"Houston, TX",February 2013,All Residential,Place/City,False,TX,0.966810974,-0.2%,0.9%,1920,12.1%,16.2%,6953,-2.1%,-31.2%,52,-4,-28.0,$159K,16.5%,17.8%,3034,7.8%,3.5%
711,"League City, TX",January 2017,All Residential,Place/City,False,TX,0.975134024,-0.6%,-0.2%,106,-33.8%,7.1%,366,-0.5%,-8.5%,50,10,12.0,$255K,-1.4%,8.1%,162,62.0%,-13.8%
712,"Houston, TX",July 2015,All Residential,Place/City,False,TX,0.977897765,-0.3%,-0.6%,3072,2.3%,0.5%,8322,9.3%,24.5%,21,1,5.0,$201K,-1.7%,4.0%,4172,11.6%,12.4%
713,"Texas City, TX",May 2018,All Residential,Place/City,False,TX,0.963447389,-2.8%,2.2%,64,-11.1%,4.9%,199,2.6%,43.2%,25,-7,4.0,$160K,-1.5%,33.4%,91,-8.1%,18.2%
714,"Houston, TX",June 2016,All Residential,Place/City,False,TX,0.977134773,0.4%,-0.4%,2999,7.7%,-0.1%,9500,2.6%,24.8%,29,1,9.0,$215K,0.7%,5.1%,3926,3.3%,5.0%
715,"League City, TX",July 2016,All Residential,Place/City,False,TX,0.989923454,0.0%,0.3%,201,-7.8%,-13.4%,403,-0.2%,-3.4%,13,-14,-3.0,$244K,-0.6%,4.8%,226,-15.4%,-11.4%
716,"Texas City, TX",August 2016,All Residential,Place/City,False,TX,0.956313065,-3.4%,0.6%,63,31.3%,46.5%,88,-16.2%,-38.0%,26,7,2.0,$127K,6.8%,8.1%,56,12.0%,-5.1%
717,"Texas City, TX",December 2016,All Residential,Place/City,False,TX,0.986879823,-1.1%,1.4%,40,-7.0%,0.0%,113,8.7%,13.0%,18,5,-26.0,$149K,-0.8%,31.1%,35,-12.5%,16.7%
718,"Baytown, TX",December 2016,All Residential,Place/City,False,TX,0.973359656,0.1%,0.6%,83,1.2%,6.4%,234,-5.3%,-7.1%,49,13,15.0,$172K,-0.7%,12.3%,77,-9.4%,2.7%
719,"Sugar Land, TX",January 2017,All Residential,Place/City,False,TX,0.9646567840000001,-0.2%,0.8%,111,-37.3%,35.4%,495,-4.8%,-6.3%,65,10,-2.0,$310K,-3.9%,-8.2%,174,58.2%,-3.9%
720,"Galveston, TX",April 2017,All Residential,Place/City,False,TX,0.9554954370000001,0.3%,0.2%,116,-1.7%,-1.7%,631,-1.6%,2.9%,48,0,9.0,$185K,-16.6%,-6.9%,169,-17.2%,-1.2%
