Region,Month of Period End,Property Type,Region Type,Seasonally Adjusted,State Code,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,New Listings,New Listings Mom,New Listings Yoy
"Missouri City, TX",Apr-17,All Residential,Place/City,FALSE,TX,0.975177218,0.50%,-0.20%,137,0.70%,0.00%,496,7.40%,21.60%,20,-22,-6,$245K,-5.00%,-5.80%,212,-7.40%,22.50%
"Houston, TX",Aug-17,All Residential,Place/City,FALSE,TX,0.971858388,-0.20%,0.00%,2219,-18.00%,-25.70%,10746,-2.10%,12.00%,32,4,2,$214K,1.90%,1.90%,3183,-20.70%,-8.10%
"Galveston, TX",Aug-17,All Residential,Place/City,FALSE,TX,0.951832194,-0.20%,-0.60%,103,-9.60%,-13.40%,607,-4.00%,-1.10%,47,-10,0,$210K,20.30%,11.40%,132,-29.80%,-9.60%
"Galveston, TX",Sep-17,All Residential,Place/City,FALSE,TX,0.952670865,0.10%,0.20%,136,32.00%,29.50%,583,-4.00%,-4.90%,66,19,5,$238K,13.10%,8.80%,116,-12.10%,-23.20%
"Sugar Land, TX",Sep-17,All Residential,Place/City,FALSE,TX,0.960299499,-1.00%,-0.90%,153,-5.00%,-5.60%,796,-8.30%,18.30%,45,16,8,$315K,1.60%,10.20%,167,-20.50%,-5.60%
"Baytown, TX",Mar-18,All Residential,Place/City,FALSE,TX,0.982341803,2.10%,0.50%,92,10.80%,-17.90%,244,7.00%,15.60%,21,-8,-4,$183K,1.40%,8.00%,146,23.70%,21.70%
"Friendswood, TX",May-18,All Residential,Place/City,FALSE,TX,0.974263086,-0.30%,-1.20%,101,-3.80%,34.70%,196,12.00%,-8.40%,14,-6,0,$247K,-13.30%,1.60%,143,30.00%,13.50%
"Missouri City, TX",Dec-18,All Residential,Place/City,FALSE,TX,0.963523852,-1.00%,-0.50%,152,25.60%,4.80%,563,-6.30%,20.60%,76,32,-1,$268K,16.90%,10.80%,116,-23.20%,8.40%
"Baytown, TX",Mar-19,All Residential,Place/City,FALSE,TX,0.983462825,-0.60%,0.10%,104,42.50%,13.00%,264,-8.30%,8.20%,28,-22,7,$197K,5.50%,8.10%,126,20.00%,-13.70%
"Baytown, TX",Aug-19,All Residential,Place/City,FALSE,TX,0.97669513,-0.30%,0.00%,121,0.80%,-1.60%,330,2.50%,-0.90%,31,10,-1,$199K,0.20%,2.00%,151,2.70%,11.90%
"Baytown, TX",Dec-19,All Residential,Place/City,FALSE,TX,0.982111832,-0.20%,-0.10%,108,17.40%,11.30%,308,-6.70%,5.80%,45,10,-2,$203K,0.70%,9.90%,82,-32.20%,28.10%
"League City, TX",Feb-20,All Residential,Place/City,FALSE,TX,0.987087025,0.80%,0.80%,113,5.60%,-18.10%,350,5.10%,-23.20%,59,3,13,$277K,1.80%,-0.90%,188,22.10%,-1.10%
"Friendswood, TX",Jun-20,All Residential,Place/City,FALSE,TX,0.985052489,0.50%,0.00%,68,-17.10%,-29.20%,124,-6.80%,-42.10%,15,-2,-8,$310K,1.70%,4.50%,105,28.00%,0.00%
"Houston, TX",Jul-20,All Residential,Place/City,FALSE,TX,0.976216916,0.30%,0.30%,3579,23.20%,14.10%,8741,-5.00%,-22.60%,37,-6,7,$260K,4.60%,13.00%,4149,7.30%,1.80%
"Friendswood, TX",Aug-12,All Residential,Place/City,FALSE,TX,0.963457558,0.40%,0.10%,85,9.00%,136.10%,262,-6.10%,-19.60%,52,7,-11,$185K,-1.30%,27.60%,74,-16.90%,10.40%
"Galveston, TX",Oct-13,All Residential,Place/City,FALSE,TX,0.955595324,0.30%,1.50%,74,-6.30%,4.20%,606,1.20%,10.00%,63,-64,6,$170K,7.60%,11.90%,126,12.50%,22.30%
"League City, TX",Dec-13,All Residential,Place/City,FALSE,TX,0.971637145,-0.50%,1.40%,170,20.60%,47.80%,431,-6.10%,-10.60%,61,11,-20,$190K,-3.30%,1.10%,107,-20.70%,9.20%
"Houston, TX",Mar-12,All Residential,Place/City,FALSE,TX,0.962504746,0.40%,0.80%,2161,30.70%,6.90%,10076,-0.30%,-24.80%,70,-10,-19,$155K,14.70%,16.90%,3509,19.70%,-6.80%
"Texas City, TX",Mar-12,All Residential,Place/City,FALSE,TX,0.984261234,4.50%,-14.40%,28,75.00%,1300.00%,215,-2.70%,28.00%,67,-47,-37,$76K,3.60%,169.60%,51,2.00%,96.20%
"Baytown, TX",Oct-12,All Residential,Place/City,FALSE,TX,0.963670368,1.10%,1.40%,87,2.40%,29.90%,406,-0.20%,-7.30%,85,21,-20,$118K,-3.30%,24.30%,102,2.00%,7.40%
"Friendswood, TX",Dec-12,All Residential,Place/City,FALSE,TX,0.945426079,-0.70%,-0.50%,57,-5.00%,171.40%,205,-13.50%,-32.60%,90,16,-22,$165K,1.20%,32.10%,37,-17.80%,-5.10%
"Houston, TX",May-13,All Residential,Place/City,FALSE,TX,0.979843137,0.30%,1.00%,3053,8.40%,14.30%,6912,1.30%,-31.30%,25,-2,-19,$173K,-4.00%,8.00%,3771,2.40%,7.90%
"Missouri City, TX",Oct-13,All Residential,Place/City,FALSE,TX,0.969713761,-0.30%,1.00%,123,-3.90%,23.00%,381,-2.30%,-25.40%,50,8,-7,$200K,-6.30%,15.20%,152,12.60%,4.10%
"Texas City, TX",Jun-15,All Residential,Place/City,FALSE,TX,0.945620623,-4.20%,0.80%,36,-12.20%,-23.40%,145,2.80%,-4.60%,25,9,-6,$126K,-3.40%,42.30%,59,7.30%,-9.20%
"Missouri City, TX",Dec-15,All Residential,Place/City,FALSE,TX,0.973478789,0.70%,0.20%,143,43.00%,2.10%,324,-10.50%,18.70%,38,2,6,$240K,6.70%,-2.00%,97,-17.10%,-10.20%
"Houston, TX",Dec-15,All Residential,Place/City,FALSE,TX,0.968499173,-0.30%,-1.00%,2472,37.00%,-7.20%,7896,-6.40%,32.20%,38,4,10,$200K,11.00%,3.20%,2053,-20.30%,-3.50%
"Pasadena, TX",Jul-16,All Residential,Place/City,FALSE,TX,0.982185516,-0.30%,0.00%,94,-11.30%,-6.00%,172,6.80%,-13.10%,14,-6,-2,$162K,8.00%,16.50%,125,9.60%,-12.60%
"Missouri City, TX",Oct-16,All Residential,Place/City,FALSE,TX,0.982028839,0.60%,0.70%,117,-18.20%,-6.40%,488,-1.40%,25.40%,27,-8,-6,$230K,-1.30%,0.20%,165,19.60%,0.00%
"League City, TX",Sep-18,All Residential,Place/City,FALSE,TX,0.972682102,-1.00%,-0.60%,165,-22.50%,-10.30%,534,-6.00%,16.10%,27,3,-4,$265K,0.80%,2.30%,152,-40.40%,-3.20%
"Texas City, TX",Jun-20,All Residential,Place/City,FALSE,TX,0.977655539,0.70%,-0.30%,88,46.70%,-4.30%,215,-7.30%,2.90%,53,14,14,$214K,23.50%,13.70%,95,-6.90%,13.10%
"Missouri City, TX",Nov-13,All Residential,Place/City,FALSE,TX,0.975625596,0.60%,0.40%,115,-6.50%,1.80%,360,-5.50%,-21.70%,47,-3,-24,$212K,5.50%,14.30%,122,-19.70%,0.80%
"Pasadena, TX",Mar-14,All Residential,Place/City,FALSE,TX,0.975594984,0.90%,0.20%,66,6.50%,11.90%,236,-9.20%,-20.50%,52,6,0,$130K,9.70%,27.50%,110,25.00%,13.40%
"Missouri City, TX",Jun-14,All Residential,Place/City,FALSE,TX,0.982949437,0.70%,0.00%,177,9.30%,-4.30%,380,8.90%,-13.20%,19,-13,-12,$250K,6.00%,14.20%,213,-1.40%,13.30%
"Sugar Land, TX",Jul-14,All Residential,Place/City,FALSE,TX,0.984249309,-0.60%,0.40%,214,-16.70%,-23.30%,419,7.40%,4.50%,13,2,-1,$320K,-1.70%,13.70%,274,-5.20%,-9.60%
"Baytown, TX",Jun-15,All Residential,Place/City,FALSE,TX,0.978889889,-0.10%,-0.70%,111,40.50%,14.40%,227,3.70%,-16.50%,17,-14,-18,$155K,3.70%,10.70%,125,2.50%,0.80%
"Baytown, TX",Dec-15,All Residential,Place/City,FALSE,TX,0.967271951,-0.90%,0.40%,78,5.40%,-8.20%,252,-8.40%,2.90%,34,1,-1,$153K,2.10%,0.20%,75,-8.50%,44.20%
"Galveston, TX",Jun-16,All Residential,Place/City,FALSE,TX,0.954717506,0.60%,-1.00%,132,6.50%,3.90%,655,1.10%,17.40%,45,2,-20,$187K,-12.10%,17.60%,184,-1.60%,34.30%
"Galveston, TX",Nov-16,All Residential,Place/City,FALSE,TX,0.955999978,1.30%,0.10%,68,-37.00%,-16.00%,594,-1.80%,9.40%,62,-12,6,$238K,13.50%,36.10%,112,-10.40%,4.70%
"Missouri City, TX",Feb-17,All Residential,Place/City,FALSE,TX,0.969162288,0.00%,0.00%,102,15.90%,0.00%,428,-2.10%,19.20%,67,25,22,$256K,7.70%,6.00%,155,4.00%,0.00%
"Texas City, TX",Aug-17,All Residential,Place/City,FALSE,TX,0.966029519,-2.10%,1.00%,36,-39.00%,-42.90%,198,3.70%,125.00%,37,29,11,$169K,12.70%,33.60%,61,-29.10%,8.90%
"Houston, TX",Nov-17,All Residential,Place/City,FALSE,TX,0.9660229,-0.20%,-0.30%,2410,-1.70%,5.20%,9085,-3.30%,3.10%,47,-1,8,$208K,0.00%,0.90%,2865,-10.40%,14.10%
"Friendswood, TX",Feb-18,All Residential,Place/City,FALSE,TX,0.972588082,1.30%,0.10%,70,52.20%,27.30%,151,-7.40%,6.30%,50,32,14,$214K,-5.50%,-26.60%,76,-15.60%,20.60%
"Texas City, TX",Jul-18,All Residential,Place/City,FALSE,TX,0.98289717,1.40%,-0.40%,85,9.00%,44.10%,225,5.60%,17.80%,28,0,20,$183K,7.80%,22.00%,85,-19.80%,-1.20%
"Houston, TX",Jul-18,All Residential,Place/City,FALSE,TX,0.973495644,0.10%,-0.10%,2905,-9.70%,7.40%,10539,2.90%,-3.90%,29,2,1,$228K,0.00%,8.60%,4122,-1.30%,2.70%
"Missouri City, TX",Jul-18,All Residential,Place/City,FALSE,TX,0.980542487,0.10%,0.90%,157,3.30%,-1.30%,599,1.50%,-6.00%,36,8,5,$258K,2.90%,9.20%,222,-5.50%,-0.40%
"League City, TX",Oct-18,All Residential,Place/City,FALSE,TX,0.980836652,0.80%,-0.30%,172,4.20%,19.40%,480,-10.10%,13.50%,42,15,7,$270K,2.10%,-0.20%,167,9.90%,10.60%
"Sugar Land, TX",Mar-19,All Residential,Place/City,FALSE,TX,0.960216755,-0.30%,-0.60%,153,50.00%,-10.00%,714,15.30%,8.80%,69,-9,-2,$320K,14.90%,-0.90%,302,57.30%,-1.60%
"Baytown, TX",May-19,All Residential,Place/City,FALSE,TX,0.978940553,-0.10%,0.40%,109,0.90%,-1.80%,283,12.30%,1.10%,27,-7,0,$190K,-1.00%,2.20%,148,34.50%,-15.90%
"Galveston, TX",Jul-19,All Residential,Place/City,FALSE,TX,0.963189671,0.90%,0.60%,141,6.00%,21.60%,615,-0.50%,-2.80%,53,-1,-14,$280K,23.90%,14.30%,177,-1.70%,9.30%
"Baytown, TX",Nov-19,All Residential,Place/City,FALSE,TX,0.983620654,1.10%,1.60%,92,-14.80%,4.50%,330,0.90%,3.10%,35,2,1,$202K,-0.20%,12.90%,121,-4.00%,3.40%
"League City, TX",May-13,All Residential,Place/City,FALSE,TX,0.976456921,-0.50%,0.40%,196,19.50%,9.50%,480,1.90%,-18.20%,39,5,-32,$185K,-0.50%,0.00%,248,19.20%,20.40%
"Friendswood, TX",Jun-13,All Residential,Place/City,FALSE,TX,0.97642553,0.10%,0.70%,102,6.30%,25.90%,214,-4.00%,-24.90%,49,6,-8,$201K,6.20%,-2.00%,98,-6.70%,14.00%
"Friendswood, TX",Mar-15,All Residential,Place/City,FALSE,TX,0.974759686,0.70%,-0.80%,60,36.40%,13.20%,97,-2.00%,-40.50%,15,-30,-17,$209K,-15.20%,16.00%,71,16.40%,-17.40%
"Sugar Land, TX",Jun-15,All Residential,Place/City,FALSE,TX,0.976725602,-0.40%,-1.30%,244,24.50%,-5.10%,549,13.40%,40.80%,15,-1,4,$329K,1.40%,1.30%,325,5.20%,12.50%
"Houston, TX",Feb-12,All Residential,Place/City,FALSE,TX,0.958050137,0.00%,0.40%,1653,25.10%,11.50%,10105,-0.10%,-23.50%,80,-1,-15,$135K,12.50%,-2.50%,2931,3.40%,-1.60%
"Pasadena, TX",Apr-12,All Residential,Place/City,FALSE,TX,0.96350974,-1.30%,0.40%,89,25.40%,39.10%,396,2.90%,-21.90%,57,-58,-17,$99K,-7.30%,-1.00%,123,-6.10%,-11.50%
"Missouri City, TX",Nov-12,All Residential,Place/City,FALSE,TX,0.97151879,1.20%,2.50%,113,13.00%,34.50%,460,-10.00%,-19.40%,71,14,-34,$185K,6.30%,8.80%,121,-17.10%,19.80%
"League City, TX",Dec-12,All Residential,Place/City,FALSE,TX,0.957797402,-1.50%,,115,-1.70%,,482,-8.00%,,81,10,,$188K,-2.10%,,98,-25.20%,
"Missouri City, TX",Feb-13,All Residential,Place/City,FALSE,TX,0.962868102,0.60%,-0.30%,95,-1.00%,8.00%,436,1.40%,-11.70%,81,0,-24,$165K,3.60%,-10.80%,173,11.60%,12.30%
"Sugar Land, TX",Aug-13,All Residential,Place/City,FALSE,TX,0.975963665,-0.50%,1.20%,256,-8.20%,19.60%,384,-4.20%,-38.20%,18,4,-24,$275K,-2.10%,24.40%,210,-30.70%,-1.40%
"Sugar Land, TX",Dec-13,All Residential,Place/City,FALSE,TX,0.975956038,1.00%,2.80%,200,28.20%,0.00%,300,-13.30%,-20.60%,35,7,-36,$308K,8.40%,8.80%,124,-21.00%,29.20%
"League City, TX",Jan-14,All Residential,Place/City,FALSE,TX,0.977927289,0.60%,0.60%,103,-39.40%,18.40%,401,-7.00%,-15.80%,63,2,4,$203K,6.80%,18.70%,146,36.40%,-5.80%
"Galveston, TX",Mar-14,All Residential,Place/City,FALSE,TX,0.958875125,1.10%,1.50%,82,-2.40%,10.80%,650,7.10%,4.70%,91,-41,18,$188K,11.30%,12.00%,189,34.00%,21.20%
"Missouri City, TX",Apr-14,All Residential,Place/City,FALSE,TX,0.977291731,0.40%,0.80%,158,16.20%,11.30%,333,-5.90%,-22.40%,31,5,-25,$221K,2.20%,1.90%,180,-2.20%,-4.80%
"Galveston, TX",Aug-14,All Residential,Place/City,FALSE,TX,0.945432467,-0.40%,0.10%,124,0.80%,5.10%,610,-1.80%,-1.00%,80,-5,7,$181K,8.10%,-1.00%,124,-21.50%,-23.00%
"Sugar Land, TX",Nov-14,All Residential,Place/City,FALSE,TX,0.976100387,-0.20%,1.00%,139,-14.70%,-10.90%,320,-6.20%,-7.50%,28,-4,0,$330K,3.10%,16.30%,171,-3.90%,8.90%
"League City, TX",Mar-15,All Residential,Place/City,FALSE,TX,0.97742447,-0.10%,-0.30%,180,31.40%,7.10%,340,-7.60%,-12.40%,26,-22,-2,$234K,2.40%,17.50%,194,6.00%,6.60%
"Baytown, TX",Apr-15,All Residential,Place/City,FALSE,TX,0.965022124,-1.20%,-0.20%,104,5.10%,6.10%,211,0.50%,-17.30%,46,-4,-7,$151K,-4.40%,10.30%,114,3.60%,-9.50%
"Sugar Land, TX",May-15,All Residential,Place/City,FALSE,TX,0.981072685,-0.30%,-0.60%,196,32.40%,2.60%,484,11.00%,41.50%,16,-3,2,$325K,2.30%,3.10%,309,7.30%,-0.30%
"Galveston, TX",May-15,All Residential,Place/City,FALSE,TX,0.950574625,-0.80%,0.20%,134,14.50%,1.50%,593,-0.20%,-9.70%,61,-20,-8,$176K,9.80%,-14.30%,161,5.20%,-6.90%
"Baytown, TX",Jul-15,All Residential,Place/City,FALSE,TX,0.974476788,-0.40%,0.10%,111,0.00%,32.10%,248,9.30%,-20.00%,33,16,12,$157K,1.30%,10.20%,151,20.80%,11.00%
"Missouri City, TX",Jan-16,All Residential,Place/City,FALSE,TX,0.969431294,-0.40%,-0.90%,92,-35.70%,-3.20%,354,9.30%,20.80%,47,9,5,$227K,-5.20%,1.50%,170,75.30%,4.30%
"Galveston, TX",Sep-16,All Residential,Place/City,FALSE,TX,0.951035884,-0.70%,-0.20%,105,-11.80%,-0.90%,613,-0.20%,3.90%,61,14,7,$218K,15.80%,19.40%,151,3.40%,19.80%
"Friendswood, TX",May-17,All Residential,Place/City,FALSE,TX,0.986443597,0.70%,0.50%,75,13.60%,-2.60%,214,17.60%,30.50%,14,-12,-4,$243K,-3.20%,-6.50%,126,27.30%,41.60%
"Pasadena, TX",Nov-17,All Residential,Place/City,FALSE,TX,0.969887894,-0.30%,0.00%,79,6.80%,14.50%,149,-5.10%,-16.30%,32,8,9,$170K,4.10%,18.90%,76,-3.80%,-10.60%
"Missouri City, TX",Jan-18,All Residential,Place/City,FALSE,TX,0.957988979,-1.10%,-1.10%,89,-38.60%,1.10%,441,-5.60%,0.90%,51,-26,9,$228K,-5.80%,-4.10%,123,15.00%,-17.40%
"Houston, TX",Apr-19,All Residential,Place/City,FALSE,TX,0.972832277,0.20%,0.20%,2839,8.60%,3.90%,10358,3.40%,10.90%,35,-10,7,$230K,1.40%,4.50%,4384,6.10%,1.50%
"Baytown, TX",Feb-20,All Residential,Place/City,FALSE,TX,0.973488286,2.40%,-1.60%,91,28.20%,24.70%,301,-9.60%,4.50%,55,-6,5,$200K,7.60%,7.00%,128,-10.50%,21.90%
"Galveston, TX",Jan-14,All Residential,Place/City,FALSE,TX,0.939536116,-0.70%,0.90%,47,-24.20%,-13.00%,562,1.60%,0.70%,113,28,-4,$189K,-3.10%,45.70%,131,70.10%,-9.00%
"League City, TX",Jun-15,All Residential,Place/City,FALSE,TX,0.986696442,0.10%,0.50%,199,9.90%,-6.60%,398,-0.50%,-2.20%,25,2,6,$238K,1.30%,10.70%,227,-9.20%,18.20%
"League City, TX",Dec-15,All Residential,Place/City,FALSE,TX,0.975308539,-0.20%,-0.20%,176,61.50%,-1.10%,363,-2.40%,-0.30%,36,14,-8,$230K,0.60%,1.60%,113,-15.00%,-15.00%
"Pasadena, TX",Jan-16,All Residential,Place/City,FALSE,TX,0.974358137,-0.50%,-0.80%,56,-32.50%,40.00%,181,7.70%,-0.50%,42,19,4,$124K,-16.80%,-4.50%,100,63.90%,17.60%
"Friendswood, TX",Feb-16,All Residential,Place/City,FALSE,TX,0.969702445,-0.70%,0.20%,52,20.90%,18.20%,135,0.00%,36.40%,44,8,-1,$255K,-5.20%,3.60%,74,5.70%,21.30%
"Galveston, TX",Feb-16,All Residential,Place/City,FALSE,TX,0.956888995,2.10%,-0.10%,58,-3.30%,-28.40%,539,8.70%,-6.10%,59,-31,-35,$168K,-4.50%,-0.70%,178,27.10%,17.90%
"Pasadena, TX",Oct-16,All Residential,Place/City,FALSE,TX,0.976681169,0.50%,-0.90%,81,-20.60%,2.50%,185,6.90%,-4.60%,25,5,0,$140K,0.20%,1.50%,105,12.90%,19.30%
"Baytown, TX",Jul-17,All Residential,Place/City,FALSE,TX,0.981781548,0.10%,-0.40%,97,-7.60%,-5.80%,310,23.00%,18.30%,16,-7,-5,$190K,4.40%,12.40%,173,21.00%,49.10%
"Galveston, TX",Oct-17,All Residential,Place/City,FALSE,TX,0.944476509,-0.80%,0.20%,93,-31.60%,-13.90%,553,-5.10%,-8.60%,76,10,2,$257K,8.20%,22.40%,132,13.80%,5.60%
"League City, TX",Nov-17,All Residential,Place/City,FALSE,TX,0.981229156,-0.30%,-0.20%,164,13.90%,10.80%,367,-13.20%,-8.30%,54,19,24,$260K,-4.10%,4.20%,141,-6.60%,0.00%
"Baytown, TX",Dec-17,All Residential,Place/City,FALSE,TX,0.974496364,0.10%,0.10%,123,12.80%,48.20%,204,-13.20%,-12.80%,32,-21,-17,$191K,4.80%,11.20%,67,-35.00%,-13.00%
"Texas City, TX",Feb-20,All Residential,Place/City,FALSE,TX,0.968331996,-1.40%,-1.50%,61,41.90%,-9.00%,255,1.20%,15.90%,70,24,-7,$165K,-17.10%,-5.70%,80,12.70%,8.10%
"Missouri City, TX",Jul-12,All Residential,Place/City,FALSE,TX,0.972042563,0.50%,0.90%,136,-11.10%,33.30%,557,-1.80%,-23.30%,58,4,-19,$200K,6.90%,16.30%,169,-7.10%,-5.60%
"Houston, TX",Jun-13,All Residential,Place/City,FALSE,TX,0.982590675,0.30%,1.10%,2846,-6.80%,5.60%,7057,2.10%,-29.60%,22,-3,-22,$180K,4.20%,13.30%,3672,-2.60%,5.60%
"Galveston, TX",Jun-13,All Residential,Place/City,FALSE,TX,0.942283923,0.10%,0.90%,104,-2.80%,13.00%,621,0.80%,5.30%,109,51,20,$192K,22.40%,23.60%,136,-8.70%,23.60%
"Friendswood, TX",Nov-13,All Residential,Place/City,FALSE,TX,0.982440656,1.80%,3.00%,50,-26.50%,-16.70%,169,-5.60%,-28.70%,45,-4,-29,$174K,-19.90%,6.90%,54,-1.80%,20.00%
"Baytown, TX",Dec-13,All Residential,Place/City,FALSE,TX,0.981780619,1.50%,2.30%,71,24.60%,16.40%,289,-11.30%,-23.90%,96,54,-6,$130K,-3.70%,8.30%,60,25.00%,0.00%
"Missouri City, TX",May-14,All Residential,Place/City,FALSE,TX,0.975927233,-0.10%,0.40%,162,2.50%,-7.40%,349,4.80%,-22.40%,32,1,-9,$236K,6.60%,17.30%,216,20.00%,-11.80%
"Pasadena, TX",Sep-14,All Residential,Place/City,FALSE,TX,0.96573428,-0.80%,-0.40%,81,-19.00%,1.30%,208,-7.10%,-30.70%,22,3,-32,$120K,-6.60%,8.40%,85,-8.60%,-12.40%
"League City, TX",Sep-14,All Residential,Place/City,FALSE,TX,0.973479367,-0.80%,-0.40%,184,-18.60%,17.90%,432,-5.10%,-13.10%,28,3,-14,$213K,-3.20%,10.80%,168,-23.60%,-8.70%
"Galveston, TX",Dec-14,All Residential,Place/City,FALSE,TX,0.945772485,0.00%,-0.10%,80,-7.00%,29.00%,510,-7.60%,-7.80%,128,48,43,$167K,-10.00%,-14.60%,62,-25.30%,-19.50%
"League City, TX",May-17,All Residential,Place/City,FALSE,TX,0.986108056,0.20%,0.00%,214,39.90%,-5.30%,390,-2.70%,9.60%,23,3,8,$255K,-3.00%,5.80%,257,8.90%,20.70%
"Missouri City, TX",Nov-18,All Residential,Place/City,FALSE,TX,0.973367927,-0.30%,0.80%,121,-12.90%,0.80%,601,-1.60%,16.50%,44,8,-15,$230K,-0.20%,-4.40%,151,-17.90%,12.70%
"Houston, TX",Aug-12,All Residential,Place/City,FALSE,TX,0.969732184,0.00%,0.90%,2751,4.20%,19.00%,9367,-4.60%,-22.60%,46,0,-24,$153K,-1.60%,7.10%,2964,-6.00%,-1.10%
"Houston, TX",Dec-12,All Residential,Place/City,FALSE,TX,0.968061563,0.10%,0.90%,2234,3.50%,13.50%,7213,-8.60%,-29.10%,56,3,-22,$165K,7.70%,10.10%,1823,-20.00%,-2.70%
"Houston, TX",Mar-14,All Residential,Place/City,FALSE,TX,0.980279951,0.50%,0.70%,2537,21.00%,-0.50%,5698,-1.90%,-16.40%,26,-10,-13,$179K,5.00%,10.50%,3275,16.50%,-3.70%
"Pasadena, TX",May-14,All Residential,Place/City,FALSE,TX,0.974158011,-0.70%,0.30%,91,-11.70%,5.80%,218,6.90%,-26.60%,56,22,-5,$124K,3.40%,-3.30%,116,28.90%,-11.50%
"Houston, TX",Sep-14,All Residential,Place/City,FALSE,TX,0.980116154,-0.30%,0.10%,2654,-6.60%,5.40%,6544,-2.90%,-9.80%,23,4,-5,$180K,-3.30%,5.20%,2917,-15.20%,-1.90%
"Pasadena, TX",Oct-14,All Residential,Place/City,FALSE,TX,0.978773399,1.30%,0.80%,95,17.30%,13.10%,201,-3.40%,-33.00%,32,10,-8,$115K,-4.20%,1.40%,96,12.90%,1.10%
"Galveston, TX",Jul-15,All Residential,Place/City,FALSE,TX,0.948179792,-1.70%,-0.10%,117,-7.90%,-4.90%,563,0.90%,-9.30%,72,7,-13,$168K,6.10%,0.50%,151,10.20%,-4.40%
"Friendswood, TX",Aug-15,All Residential,Place/City,FALSE,TX,0.985152438,-0.60%,0.20%,68,-20.90%,-19.00%,149,-3.90%,-14.90%,11,-3,-14,$232K,2.40%,-5.40%,77,-25.20%,-2.50%
"Texas City, TX",Feb-16,All Residential,Place/City,FALSE,TX,0.948891706,-1.50%,0.00%,42,13.50%,23.50%,88,-22.10%,-31.30%,39,7,-32,$120K,-3.20%,12.10%,38,-29.60%,-25.50%
"Houston, TX",Apr-16,All Residential,Place/City,FALSE,TX,0.97176758,0.20%,-0.50%,2499,2.40%,-4.40%,9026,0.80%,25.50%,28,-6,5,$205K,1.50%,10.80%,3655,-7.30%,-1.70%
"Houston, TX",Dec-16,All Residential,Place/City,FALSE,TX,0.96775183,-0.20%,-0.10%,2702,18.00%,9.30%,8060,-8.50%,2.10%,45,6,7,$215K,4.30%,7.50%,1963,-21.90%,-4.40%
"Galveston, TX",Dec-16,All Residential,Place/City,FALSE,TX,0.958465681,0.20%,1.00%,85,25.00%,6.30%,537,-9.60%,10.00%,56,-6,-10,$200K,-16.10%,15.40%,69,-38.40%,-16.90%
"Pasadena, TX",Jun-17,All Residential,Place/City,FALSE,TX,0.96905189,-0.60%,-1.60%,102,-2.90%,-3.80%,162,5.20%,0.60%,14,0,-6,$151K,-0.50%,0.80%,136,27.10%,19.30%
"Friendswood, TX",Oct-17,All Residential,Place/City,FALSE,TX,0.974855709,-0.50%,-0.60%,71,-5.30%,29.10%,169,-11.10%,-4.50%,39,10,18,$270K,-1.80%,17.90%,76,15.20%,33.30%
"Pasadena, TX",Jan-18,All Residential,Place/City,FALSE,TX,0.968147731,-1.30%,0.10%,51,-35.40%,-1.90%,122,-5.40%,-25.60%,18,-3,-32,$157K,-1.90%,16.30%,68,44.70%,-19.00%
"Galveston, TX",Jul-18,All Residential,Place/City,FALSE,TX,0.956702734,-0.90%,0.30%,116,-25.60%,1.80%,633,-2.20%,0.20%,67,31,10,$245K,1.10%,40.40%,162,-16.10%,-13.80%
"Pasadena, TX",Aug-18,All Residential,Place/City,FALSE,TX,0.981737251,0.10%,1.30%,95,0.00%,41.80%,206,9.60%,11.40%,15,1,-1,$173K,-1.70%,8.10%,139,31.10%,52.70%
"Friendswood, TX",Aug-19,All Residential,Place/City,FALSE,TX,0.974581517,-1.00%,0.10%,94,4.40%,28.80%,183,-15.70%,-33.50%,28,10,3,$270K,0.20%,-5.20%,71,-33.00%,-34.30%
"Pasadena, TX",Jun-20,All Residential,Place/City,FALSE,TX,0.982641373,1.00%,0.50%,108,40.30%,31.70%,165,-13.20%,-17.50%,34,2,15,$181K,-9.70%,3.30%,103,-1.90%,-13.40%
"Sugar Land, TX",Jun-20,All Residential,Place/City,FALSE,TX,0.967771393,0.30%,0.20%,189,78.30%,6.20%,591,-8.70%,-28.00%,40,0,5,$320K,-3.00%,-4.80%,238,-9.80%,-16.50%
"Texas City, TX",Apr-12,All Residential,Place/City,FALSE,TX,0.929774838,-5.40%,24.40%,24,-14.30%,2300.00%,229,6.50%,34.70%,70,3,-186,$69K,-9.20%,90.70%,59,15.70%,73.50%
"Missouri City, TX",Jun-12,All Residential,Place/City,FALSE,TX,0.966970082,-0.50%,0.80%,153,33.00%,28.60%,567,4.60%,-19.90%,54,3,-32,$187K,2.20%,6.90%,182,9.00%,7.70%
"Galveston, TX",Apr-13,All Residential,Place/City,FALSE,TX,0.944408125,0.10%,-0.40%,105,41.90%,31.30%,613,-1.30%,-2.50%,66,-7,4,$195K,16.50%,34.50%,150,-3.80%,2.00%
